"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"921521","Groß Lobke",10.011583,52.270215,""
"921513","Borsum(Hildesh) Kirche",10.01072,52.206176,""
"903695","Rethmar Vor dem Dorf",10.007853,52.315565,""
"921512","Borsum(Hildesh) Kolpingstraße",10.005965,52.209061,""
"921511","Borsum(Hildesh) Volksbank",10.005057,52.205636,""
"903693","Rethmar Dorfstraße",10.004104,52.314927,""
"903691","Rethmar Triftstraße",10.002828,52.316177,""
"921749","Söhlde Molkerei",10.236799,52.189168,""
"921748","Söhlde Woltwiescher Straße",10.235774,52.193177,""
"921745","Söhlde Gent",10.230417,52.185698,""
"921747","Söhlde Im Teiche",10.230345,52.187936,""
"921744","Söhlde Bockmühlenstraße",10.22612,52.188467,""
"921743","Groß Himstedt",10.201238,52.185402,""
"921741","Bettrum Konservenfabrik",10.180886,52.181051,""
"921740","Bettrum Mitte",10.171303,52.179118,""
"921739","Nettlingen Landwehr",10.160687,52.16238,""
"921738","Nettlingen Am kl. Wasser",10.160049,52.159818,""
"921979","Holle-Grasdorf Siedlung",10.156345,52.106359,""
"921737","Nettlingen Schloss",10.154341,52.162245,""
"921903","Sottrum(Hildesh) Kirche",10.147545,52.077567,""
"921736","Nettlingen Helmerser Straße",10.14652,52.165922,""
"921707","Feldbergen Abzw. Mölme",10.145612,52.200144,""
"921980","Derneburg Campingplatz",10.142259,52.103051,""
"921735","Dingelbe Zuckerfabrik",10.139913,52.174048,""
"921907","Derneburg Siedlung",10.124748,52.098548,""
"921705","Garbolzum Abzw. Garmissen",10.122195,52.197168,""
"921704","Schellerten Bundesstraße 1",10.100711,52.187352,""
"921720","Schellerten Seniorenheim",10.099183,52.18453,""
"921824","Farmsen(Schellerten) Heerstraße",10.092468,52.168834,""
"921732","Ottbergen(Schellerten) Mitte",10.081393,52.149256,""
"921731","Ottbergen(Schellerten) Ziegelei",10.076449,52.143584,""
"921830","Hockeln(Bad Salzdetfurth)",10.072305,52.093819,""
"921702","Kemme Kaufhaus",10.069941,52.180359,""
"921886","Listringen(Bad Salzdetfurth)",10.068422,52.101164,""
"921822","Dinklar(Schellerten) Kleine Seite",10.067478,52.165958,""
"921811","Bad Salzdetfurth-Wesseln Bünter Jägerheim",10.06168,52.067463,""
"922202","Dinklar(Schellerten) Volksbank",10.060107,52.167675,""
"921887","Heinde(Bad Salzdetfurth) Gasthof Ohms",10.041194,52.102611,""
"921701","Bettmar(Schellerten) Paß",10.036357,52.171351,""
"921831","Klein Düngen",10.035342,52.094404,""
"921827","Bad Salzdetfurth-Wesseln Bahnhof/Eurobahn",10.034578,52.080381,""
"921834","Machtsum Neustadt",10.034146,52.193923,""
"921136","Heinde(Bad Salzdetfurth)",10.033993,52.103708,""
"921970","Heinde(Bad Salzdetfurth) Abzw. Itzum",10.032923,52.101379,""
"921835","Bad Salzdetfurth-Wesseln Kirche",10.032222,52.08314,""
"921753","Bad Salzdetfurth-Wesseln Detfurther Straße",10.03153,52.083509,""
"921832","Bad Salzdetfurth-Wesseln Steinbeck",10.030191,52.08127,""
"921135","Lechstedt(Bad Salzdetfurth)",10.025453,52.114369,""
"921752","Groß Düngen Gasthaus Bock",10.024006,52.095078,""
"921100","Hildesheim-Uppen",10.023557,52.13908,""
"921754","Bad Salzdetfurth Kirche",10.019377,52.073387,""
"922197","Bad Salzdetfurth Solebad",10.018199,52.071427,""
"921751","Groß Düngen Kindergarten",10.017633,52.094646,""
"921099","Hildesheim-Einum Schmiede",10.016006,52.160915,""
"921098","Hildesheim-Einum An der Klus",10.014424,52.164627,""
"921755","Bad Salzdetfurth Detfurther Allee",10.01294,52.068641,""
"921097","Hildesheim-Einum Hotel Hansa",10.011412,52.160672,""
"921757","Bad Salzdetfurth Kronprinz",10.008338,52.064317,""
